Ano da Produção,Título da Produção,Glosada,ISSN,Título do Periódico,DOI,URL,Tipo,Subtipo,Idioma,Autores,Categorias
2015,ANALYSIS OF EXTREME PRECIPITATION EVENTS USING A NOVEL DATA MINING APPROACH,Sim,2166-4633,American Journal of Environmental Engineering,,-,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,HELOISA MUSETTI ; HAROLDO FRAGA DE CAMPOS VELHO ; GILVAN SAMPAIO DE OLIVEIRA ; FERNANDO MANOEL RAMOS,Participante Externo ; Docente ; Participante Externo ; Docente
2015,APLICAÇÃO DE TÉCNICAS DE PROCESSAMENTO DIGITAL DE IMAGENS USANDO A EXTENSÃO ESPACIAL POSTGIS RASTER EM IMAGENS DE SENSORIAMENTO REMOTO,Sim,,,,[http://www.dsr.inpe.br/sbsr2015/files/p0909.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,ADELINE MARINHO MACIEL ; LUBIA VINHAS ; GILBERTO CAMARA NETO,Discente - Doutorado ; Docente ; Docente
2015,APLICACÇÃO DA HEURÍSTICA HÍBRIDA GERAÇÃO DE COLUNAS COM PATH-RELIKING PARA PROBLEMAS DE AGRUPAMENTOS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,RUDINEI MARTINS DE OLIVEIRA ; ANTONIO AUGUSTO CHAVES ; LUIZ ANTONIO NOGUEIRA LORENA ; GERALDO REGIS MAURI,Participante Externo ; Participante Externo ; Docente ; Participante Externo
2015,ASSESSMENT OF HEART RATE VARIABILITY BY APPLICATION OF CENTRAL TENDENCY MEASURE,Sim,0140-0118,Medical & Biological Engineering & Computing,,[http://link.springer.com/article/10.1007/s11517-015-1390-8?wt_mc=internal.event.1.SEM.ArticleAuthorAssignedToIssue],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,LAURITA DOS SANTOS ; JOAQUIM JOSE BARROSO DE CASTRO ; ELBERT EINSTEIN NEHRER MACAU ; MOACIR FERNANDES DE GODOY,Participante Externo ; Docente ; Docente ; Participante Externo
2015,AUTOMATICALLY IDENTIFICATION OF EQUATORIAL SPREAD-F OCCURRENCE ON IONOGRAMS,Sim,1364-6826,Journal of Atmospheric and Solar-Terrestrial Physics,,-,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,VALDIR GIL PILLAT ; PAULO ROBERTO FAGUNDES ; LAMARTINE NOGUEIRA FRUTUOSO GUIMARAES,Participante Externo ; Participante Externo ; Docente
2015,AUTOMATING THE ASSESSMENT OF THE PERFORMANCE QUALITY ATTRIBUTE FOR EVOLVING SOFTWARE SYSTEMS: AN EXPLORATORY STUDY,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,FELIPE ALVES PEREIRA PINTO ; UIRA KULESZA ; LEO MOREIRA SILVA ; EDUARDO MARTINS GUERRA,Participante Externo ; Participante Externo ; Participante Externo ; Docente
2015,AVALIAÇÃO DA TÉCNICA DE CASAMENTO DE IMAGENS PARA NAVEGAÇÃO AUTÔNOMA DE VANTS,Sim,,,,[http://la-cci.org/wp-content/uploads/2015/09/Programa%C3%A7%C3%A3o-LA-CCI-CBIC-2015-SESS%C3%95ES.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2015,"AVALIAÇÃO DO PADRÃO DE EXATIDÃO CARTOGRÁFICA DE IMAGENS QUICKBIRD E RAPIDEYE EM UMA ÁREA DO TAPAJÓS, PARÁ",Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,SIDNEI JOAO SIQUEIRA SANT ANNA,Docente
2015,BIODIVERSITY IMPLICATIONS OF REDD+ POLICIES: ASSESSMENTS IN BRAZIL AND IN THE CONGO BASIN,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,FERNANDO MANOEL RAMOS,Docente
2015,CHANGE DETECTION TECHNIQUES USING MULTISENSOR DATA,Sim,,,,-,BIBLIOGRÁFICA,LIVRO,Idioma Estrangeiro,SIDNEI JOAO SIQUEIRA SANT ANNA,Docente
2015,CHAOTIC DYNAMICS IN A LOW-ENERGY TRANSFER STRATEGY TO THE EQUILATERAL EQUILIBRIUM POINTS IN THE EARTH-MOON SYSTEM,Sim,0218-1274,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,,[http://www.worldscientific.com/doi/abs/10.1142/S0218127415500777][doi:10.1142/s0218127415500777],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,FRANCISCO JAVIER TIPAN SALAZAR ; ELBERT EINSTEIN NEHRER MACAU ; OTHON CABO WINTER,Participante Externo ; Docente ; Participante Externo
2015,CHARACTERIZATION OF POROUS SILICON FABRY?PÉROT OPTICAL SENSORS FOR REFLECTIVITY AND TRANSMITTIVITY MEASUREMENTS,Sim,1077-260X,IEEE Journal of Selected Topics in Quantum Electronics,,[http://www.ieexplore.ieee.org][doi:10.1109/jstqe.2014.2365583],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Português,JOAQUIM JOSE BARROSO DE CASTRO,Docente
2015,CLASSIFICAÇÃO DE COBERTURA DA TERRA UTILIZANDO DADOS ÓTICOS E DE RADARES DE ABERTURA SINTÉTICA,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,MARIANE SOUZA REIS ; ELIANA PANTALEAO ; SIDNEI JOAO SIQUEIRA SANT ANNA ; LUCIANO VIEIRA DUTRA,Participante Externo ; Participante Externo ; Docente ; Docente
2015,CLASSIFICAÇÃO MULTIFONTES DE IMAGENS DE SENSORIAMENTO REMOTO BASEADA EM MAPAS DE INCERTEZAS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,BRUNA CRISTINA BRAGA ; CORINA DA COSTA FREITAS ; SIDNEI JOAO SIQUEIRA SANT ANNA,Participante Externo ; Docente ; Docente
2015,CLASSIFICATION OF LAND USE AND LAND COVER IN THE BRAZILIAN AMAZON USING FUZZY MULTILAYER PERCEPTRONS,Sim,1947-928X,International Journal of Natural Computing Research,,[doi:10.4018/ijncr.2015010104],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,TONI ROBERTO GOMES PIMENTEL ; FERNANDO MANOEL RAMOS ; SANDRA APARECIDA SANDRI,Discente - Doutorado ; Docente ; Docente
